Title,Date,Day,Start Time,End Time,Time Zone,Price (£),Availability,Event Status,Address,Details,Instructions
BTS - Fire (One off),2018-08-09,Thursday,7pm,8pm,BST,7.50,N/A,Confirmed,N/A,"Dance Practice Video:
https://www.youtube.com/watch?v=sWuYspuN6U8",N/A
Blackpink - DDU DU DDU DU (Part 1),2018-08-09,Thursday,8pm,9pm,BST,7.50,Fully booked,Confirmed,N/A,"Dance Practice Video:
https://www.youtube.com/watch?v=jOJbXvjZ-cQ",N/A
NCT 127 - Chain (Part 1),2018-08-13,Monday,7pm,8pm,BST,7.50,N/A,Confirmed,N/A,"Dance Practice Video:
https://www.youtube.com/watch?v=pGB6oUsvH3U",N/A
Blackpink - DDU DU DDU DU (Part 2),2018-08-13,Monday,8pm,9pm,BST,7.50,Only 3 spaces left,Confirmed,N/A,"Dance Practice Video:
https://www.youtube.com/watch?v=jOJbXvjZ-cQ",N/A
NCT 127 - Chain (Part 2),2018-08-16,Thursday,7pm,8pm,BST,7.50,N/A,Confirmed,N/A,"Dance Practice Video:
https://www.youtube.com/watch?v=pGB6oUsvH3U",N/A
Momoland - Baam (Part 1),2018-08-16,Thursday,8pm,9pm,BST,7.50,N/A,Confirmed,N/A,"Dance Practice Video:
https://www.youtube.com/watch?v=z0rthAhdkRk",N/A
BTS - Dope (Part 1),2018-08-20,Monday,7pm,8pm,BST,7.50,N/A,Confirmed,N/A,"Dance Practice Video:
https://youtu.be/UrNfJ7AwW_g",N/A
Momoland - Baam (Part 2),2018-08-20,Monday,8pm,9pm,BST,7.50,N/A,Confirmed,N/A,"Dance Practice Video:
https://www.youtube.com/watch?v=z0rthAhdkRk",N/A
Blackpink - DDU DU DDU DU (Part 3),2018-08-24,Friday,7pm,8pm,BST,7.50,N/A,Confirmed,N/A,N/A,N/A
Blackpink - DDU DU DDU DU (Part 4),2018-08-24,Friday,8pm,9pm,BST,7.50,N/A,Confirmed,N/A,N/A,N/A
BTS - Dope (Part 2),2018-08-26,Sunday,2pm,3pm,BST,7.50,N/A,Confirmed,N/A,N/A,N/A
JayPark - Yacht (One off),2018-08-26,Sunday,3pm,4pm,BST,7.50,N/A,Confirmed,N/A,1milliondance cover,N/A
Blackpink - Really (Original concept project),2018-09-03,Monday,7pm,8:30pm,BST,10.00,N/A,Confirmed,N/A,N/A,N/A
BTS - Idol (Part 1),2018-09-06,Thursday,7pm,8pm,BST,7.50,Fully booked,Confirmed,N/A,N/A,N/A
BTS - Idol (Part 2),2018-09-06,Thursday,8pm,9pm,BST,7.50,Fully booked,Confirmed,N/A,N/A,N/A
IKON - Killing me (Part 1),2018-09-10,Monday,7pm,8pm,BST,7.50,Only 2 spaces left,Confirmed,N/A,N/A,N/A
IKON - Killing me (Part 2),2018-09-10,Monday,8pm,9pm,BST,7.50,Only 2 spaces left,Confirmed,N/A,N/A,N/A
BTS - Idol (Part 2),2018-09-13,Thursday,7pm,8pm,BST,7.50,Only 5 spaces left,Confirmed,N/A,N/A,N/A
BTS - Idol (Part 3),2018-09-13,Thursday,8pm,9pm,BST,7.50,Only 1 space left,Confirmed,N/A,N/A,N/A
Blackpink - Really,2018-09-16,Sunday,6:30pm,8pm,BST,10.00,N/A,Confirmed,N/A,Original concept,N/A
IKON - Killing me (Part 3),2018-09-17,Monday,7pm,8pm,BST,7.50,N/A,Confirmed,N/A,N/A,N/A
IKON - Killing me (Part 4),2018-09-17,Monday,8pm,9pm,BST,7.50,N/A,Confirmed,N/A,N/A,N/A
BTS - Idol (Part 3),2018-09-20,Thursday,7pm,8pm,BST,7.50,Only 4 spaces left,Confirmed,N/A,N/A,N/A
BTS - Idol (Part 4),2018-09-20,Thursday,8pm,9pm,BST,7.50,Only 5 spaces left,Confirmed,N/A,N/A,N/A
BTS - I need u (Part 1),2018-09-26,Wednesday,7pm,8pm,BST,7.50,N/A,Confirmed,N/A,N/A,N/A
BTS - I need u (Part 2),2018-09-26,Wednesday,8pm,9pm,BST,7.50,N/A,Confirmed,N/A,N/A,N/A
BTS - Idol (Part 4),2018-09-27,Thursday,7pm,8pm,BST,7.50,N/A,Confirmed,N/A,N/A,N/A
BTS - Idol (Full song recap),2018-09-27,Thursday,8pm,9pm,BST,7.50,N/A,Confirmed,N/A,N/A,N/A
